### SYSTEM         = Linux cloudimg 6.10.0-komball-v6.10+ #221 SMP PREEMPT_DYNAMIC Tue Oct 15 08:47:47 UTC 2024 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 32G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = tmpfs,ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWOM,MRPH,MRDM,DRBH
### NCORES         = 1,2,4,7,15,23,47,62,78,94
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8468
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 48
### SMT_LEVEL      = 1


## mem:tmpfs:DWOM:94:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

94 30.327693 22147798.000000 730282.989825 30.4034 5.18 0 2690.6 223.64 0.04 0 0.03 0 0 0.177428 0 92.1599 7.66024 0.0013701 0 0.00102758 0 0

## mem:tmpfs:MRPH:94:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

94 29.999710 58072188.000000 1935758.336356 30.0767 37.95 0 2782.71 65.3 0.03 0 0.02 0 0 1.31496 0 96.4207 2.26264 0.0010395 0 0.000692998 0 0

## mem:tmpfs:MRDM:94:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

94 29.999685 443979508.000000 14799472.285808 30.056 19.33 0 2692.03 53.31 115.21 0 0.41 0 0 0.671113 0 93.4639 1.85086 3.99994 0 0.0142347 0 0

## mem:tmpfs:DRBH:94:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

94 29.999594 83559148.000000 2785342.608549 30.0525 5.1 0 2816.08 63.22 0.15 0 0.05 0 0 0.176801 0 97.6246 2.19164 0.00520003 0 0.00173334 0 0

## mem:tmpfs:DWOM:78:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

78 30.057824 21385158.000000 711467.276621 30.1169 4.37 0 2257.56 630.01 0.09 0 0 0 0 0.151105 0 78.0614 21.7844 0.003112 0 0 0 0

## mem:tmpfs:MRPH:78:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

78 29.998709 73508460.000000 2450387.441009 30.0555 44.76 0 2296.45 543.98 0.2 0 0.09 0 0 1.55122 0 79.5864 18.8523 0.00693126 0 0.00311907 0 0

## mem:tmpfs:MRDM:78:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

